id,text,label,notes
S284,It's soooo great that I've taken pain medication and my back is still hurting 😩😩😩😩😩😩,,
S285,I love not being pregnant so much it’s my fave thing about myself,,
S286,It’s funny that you guys thought sports mattered during a pandemic. I simply can not imagine caring about a winning streak rn.,,
S287,I love how they blur out Tristan’s face in this season of the kardashians LMAO like hmmmm I wonder who that mysterious man is,,
S288,"Nearly a week since my tracked parcel was sent off. Still at the same Post Office I dropped it off at apparently... What excuse do you reckon they'll use if I chase it up? COVID, Black Friday, Christmas, Other? Place bets NOW!",,
S289,"My dad just said to me, “Hey, you’re kinda skinny, can you slip behind the fridge to look at something?” and it might be the nicest compliment I’ve ever gotten. So guys, go tell your girl you think she’s kinda skinny🥰",,
S290,"Ok, so @bytereview and I decided to record on the evening of the 6th, just as absolutely nothing newsworthy was happening! Perfect timing as always, to go over some of the best ITSBUPs of 2020 - and how we're settling into 2021! Listen: https://t.co/oaPLwrtcHP https://t.co/za3EHuqcWh",,
S291,"head is pounding, spent £25 on ubers last night and I have a 3000 word report to write :) yippee x",,
S292,The typhoon flew over me today absolutely fuming they forgot to bomb me,,
S293,i hate it here ❤️❤️❤️❤️❤️,,
S294,"Going to M&amp;S food will be the highlight of my day later, can’t wait👌🏻😅",,
S295,every time i send my mom pictures of me and one of my friends doing fun things the first question she asks is if we're on a date what are you trying to tell me mother,,
S296,"No joke, air-fried Twisted Teas are THE BEST.",,
S297,somebody tell these birds to be quiet because they not listening to me,,
S298,“it’s hotter in the america right now and it feels fine british people are just being dramatic 🙄” QUICK ARE YOU SAYING THIS INSIDE UR AIR CONDITIONED HOUSE ‼️‼️‼️,,
S299,thank you @Ranboosaysstuff i just shit my pants 👍very cool #ranbooemail,,
S300,hot girls have tree shaped dents in their rear bumpers ❤️,,
